詞條,解釋
撿採,如果，萬一。
撿輕,接生，或作「減輕」。
撿揫,收拾整理。
撿兜食,撿到便宜有得吃的意思。
撿兜做,工作很多有得做的意思。
撿兜聊,間充裕有得休息的意思。
撿兜餓,猶如說經常挨餓。
鏡鮮,形容水清澈，鮮潔透底，如鏡可照人。
驚山,因環境寞生或孤單而生恐懼。
驚生,怕生。
驚怕,恐怕。
驚死,怕死。
驚鬼,怕鬼。
驚風,怕風。
驚撓,怕人捉弄搔癢。
驚生份,對陌生人或環境的恐懼。
驚拔拔仔,驚怕的樣子。
驚鹿鹿仔,驚怕的樣子。
驚驚忸忸,形容驚懼畏縮的樣子。
驚驚險險,形容驚懼可怕的樣子。
頸跔跔仔,縮著脖子的樣子。
頸橫橫仔,桀驁不服的樣子。
頸偏偏仔,桀驁不服的樣子。
頸鋸鋸仔,形容縮著脖子的樣子。
頸墩墩仔,容脖子又短又肥的樣子。
噭噭滾,1.形容連續叫聲。
恄恄惇,顫抖。
雞公,公雞。
雞紅,雞血，又叫「雞衁仔」。
雞卵,雞蛋。
